,U Bar of 0.1,U Bar of 0.22,U Bar of 0.33999999999999997,U Bar of 0.45999999999999996,U Bar of 0.58,U Bar of 0.7,A of 0.1,A of 0.22,A of 0.33999999999999997,A of 0.45999999999999996,A of 0.58,A of 0.7,B of 0.1,B of 0.22,B of 0.33999999999999997,B of 0.45999999999999996,B of 0.58,B of 0.7
3.8922155688622753,0.4631525985157985,0.4691161585919701,0.4722801986336473,0.469864932078256,0.45498130778600476,0.3995771238566381,-0.011350762990219485,-0.02584354823562193,-0.04144112399421481,-0.058372226806515326,-0.07701470485654532,-0.09841093636386647,0.00677777557450865,0.016263897937453038,0.027662693789963735,0.04169379629757823,0.05966361963706,0.08516678348346157
3.992015968063872,0.45881508146103517,0.4633075175337186,0.4646333166539578,0.45988230471507396,0.4419838034742917,0.38275194023111586,-0.011175170389025983,-0.025414402777698502,-0.04069723133588425,-0.0572290825102711,-0.07534730889885777,-0.09599230528241227,0.006873139373104142,0.016450655022022267,0.027892029091304962,0.041868415012593405,0.05957673171575109,0.0842499734955819
4.091816367265469,0.453983195022274,0.4570209732856332,0.45655151508703634,0.4495576059862494,0.42883986164706167,0.3662500558027748,-0.011001698909461158,-0.024991710641784213,-0.039967232144035116,-0.05611259343957671,-0.0737292649513091,-0.09366929033352984,0.006958733243588235,0.016613301197790076,0.028079868561893342,0.041981881431982566,0.05941154085530341,0.08326829318820135
4.191616766467066,0.448694344825439,0.4503002666412303,0.44808578404473,0.43894919662609116,0.4156118103931619,0.35011529649200723,-0.010830483717588234,-0.024575755161270474,-0.039251485932961225,-0.05502297393214943,-0.07215999862457884,-0.09143820967577647,0.007034791275711932,0.016752652815846734,0.02822814553967236,0.04203812998104805,0.05917535694081733,0.08223342503733583
4.291417165668663,0.4429852800858586,0.4431879254981772,0.439285018592183,0.4281119372954838,0.40235630680259243,0.33438346938779323,-0.010661644114247358,-0.024166777066642227,-0.03855027245118036,-0.053960312180469754,-0.07063877491254322,-0.08929536281584703,0.007101581098882293,0.016869595524564535,0.028338873945709244,0.04204110991562483,0.05887522210711537,0.08115590018706696
4.391217564870259,0.4368919540841063,0.4357251207950551,0.4301958931299584,0.41709714251423213,0.38912452944626813,0.3190831936274335,-0.010495284283178065,-0.023764977039382046,-0.03786379788028514,-0.05292458351031817,-0.069164724148651,-0.0872370671591169,0.0071593989212901474,0.01696507050121657,0.02841412192888182,0.04199474418962725,0.05851786665300724,0.08004514956748904
4.491017964071856,0.43044940213315913,0.4279515463457384,0.42086276816604523,0.4059525756810925,0.37596240868341513,0.3042366872441031,-0.010331494067773467,-0.023370518297288236,-0.03719220094139138,-0.0519156630398962,-0.06773686562160874,-0.08525968762376747,0.007208564800803619,0.01704006160336773,0.02845598802173148,0.04190289417290591,0.05810967657327294,0.07890956530370626
4.590818363273453,0.4236916363977842,0.4199053212347135,0.4113276267224549,0.3947224796825547,0.36291088502650215,0.2898605037046616,-0.010170349766755587,-0.0229835291826692,-0.036535558853850236,-0.05093333764732141,-0.06635412888674617,-0.08335966021697848,0.00724941817760722,0.017095583497727253,0.02846657982675213,0.04176932994108483,0.05765667132192436,0.07775656872043928
4.69061876247505,0.41665155680737237,0.411622913303874,0.40163003754173277,0.38344763780359914,0.3500061869869589,0.27596621461374643,-0.010011914939971495,-0.022604105728388824,-0.03589389310057741,-0.049977317196864726,-0.06501537284733402,-0.08153351040763454,0.007282313691042281,0.017132670800640223,0.028447995203213963,0.0415977057877549,0.057164490436468554,0.07659268194473835
4.790419161676647,0.4093608772093396,0.4031390821701267,0.3918071422453212,0.37216545994913847,0.3372801210057022,0.2625610372136926,-0.009856241216426045,-0.02223231418016243,-0.03526717496340052,-0.04904724499405183,-0.06371940270857361,-0.07977786705724571,0.007307617296212891,0.017152368243632345,0.028402305883963194,0.041391540559970616,0.05663838770691271,0.0754236007305101
4.8902195608782435,0.4018500658395622,0.394486840159665,0.38189366363809985,0.36091008953953413,0.3247603672042956,0.24964840694713583,-0.0097033690975729,-0.021868193456787217,-0.034655330800139376,-0.0481427074566958,-0.062464984927186155,-0.07808947259441344,0.00732570268971025,0.017155721859458427,0.02833154341910624,0.04115420238766751,0.05608323165441392,0.07425426666822174
4.990019960079841,0.39414829913736765,0.3856974295240984,0.3719219324412365,0.34971252683649323,0.3124707757491406,0.23722849655339417,-0.009553328749767675,-0.021511757533094648,-0.03405824704265486,-0.047263243003168844,-0.06125086029272964,-0.07646519004190605,0.007336948048301568,0.01714377116890573,0.028237687318507097,0.040888897363507606,0.05550351118358794,0.07308893740211564
5.089820359281437,0.3862834279030226,0.37680031431146993,0.3619219298589402,0.3386007648688453,0.3004316595866383,0.22529868401865866,-0.009406140780634493,-0.02116299773330433,-0.03347577490180234,-0.04640835017092096,-0.06007575528414835,-0.07490200743184727,0.007341733079631098,0.017117542336065314,0.02812265524690047,0.04059866172892588,0.05490334538192089,0.07193125386015062
5.189620758483034,0.37828195478321214,0.3678231852968708,0.3519213435351949,0.32759993454608877,0.28866008017232986,0.21385397226379738,-0.009261816994901253,-0.02082188492511959,-0.032907734771105125,-0.04557749498761897,-0.058938391847715065,-0.07339704007537992,0.007340436379877292,0.017078042249751693,0.027988295113377266,0.04028635713209605,0.05428649655336292,0.07078430381550202
5.289421157684631,0.3701690220724197,0.35879197642877375,0.3419456346257396,0.3167324559595462,0.2771701235791987,0.20288736379309968,-0.009120361126013124,-0.020488371607321962,-0.032353920326041154,-0.04477011762454297,-0.05783749574145316,-0.07194753108946793,0.0073334330898741674,0.017026253481029388,0.02783637889022706,0.03995466854168773,0.05365638568630276,0.0696506813507183
5.389221556886228,0.3619684088334015,0.3497308913140116,0.3320181138917831,0.306018193267374,0.2659731650313427,0.19239019369444388,-0.008981769540533556,-0.020162393885790685,-0.0318141023201493,-0.043985638367281865,-0.05677180358719899,-0.0705508505257516,0.007321092838399321,0.016963130061175658,0.027668597993821962,0.03960610442444792,0.05301610966523904,0.06853254199476752
5.489021956087824,0.35370253636565674,0.340662438343179,0.32216002490897294,0.29547461093375976,0.2550781204733164,0.18235242441917268,-0.008846031912984647,-0.019843873334795488,-0.03128803208275749,-0.043223462942559104,-0.05574006876543525,-0.06920449339470522,0.007303777959110023,0.016889594020638693,0.027486560061624966,0.03924299882290217,0.05236845963813791,0.06743165345720784
5.588822355289421,0.345392481085473,0.3316074731455874,0.3123906326733002,0.2851169294400561,0.24449168426038106,0.17276290571342615,-0.00871313186936276,-0.019532718742092614,-0.030775444726070484,-0.04248298724243036,-0.05474106628052634,-0.06790607683263505,0.007281841965921976,0.01680653262740383,0.027291786963780845,0.03886751500022258,0.051715940046122434,0.06634944200002138
5.688622754491018,0.337057993922327,0.322585247155862,0.3027273160705646,0.2749582789035175,0.23421855244815507,0.16360960294986351,-0.008583047598090695,-0.019228827737805793,-0.030276062071690854,-0.04176360148834863,-0.05377359671553857,-0.06665333661899646,0.007255628270418956,0.016714796262423153,0.027085713894438767,0.038481650351226325,0.051060787907898905,0.06528703457296435
5.788423153692615,0.3287175253832528,0.31361346117033145,0.29318566285494024,0.2650098493266124,0.22426163148090686,0.15487979694166876,-0.00845575242763559,-0.018932088308308462,-0.029789595308446215,-0.04106469387789415,-0.05283648938685104,-0.06544412321669565,0.007225469124101054,0.016615196870172926,0.026869689396374026,0.03808724231048955,0.050404992027844014,0.06424529689849783
